,y
103302,-0.030000000000000027
103303,-0.009999999999999898
103304,-0.010000000000000009
103305,0.0
103306,0.0
103307,-0.010000000000000009
103308,-0.010000000000000009
103309,-0.040000000000000036
103310,0.0
103311,-0.020000000000000018
103312,0.0
103313,0.0
103314,0.010000000000000009
103315,0.010000000000000009
103316,-0.030000000000000027
103317,-0.010000000000000009
103318,0.040000000000000036
103319,-0.010000000000000009
103320,0.010000000000000009
103321,0.030000000000000027
103322,-0.07000000000000006
103323,0.010000000000000009
103324,-0.019999999999999907
103325,-0.030000000000000027
103326,0.030000000000000027
103327,0.029999999999999916
