,y
105741,0.81
105742,0.95
105743,0.9
105744,0.93
105745,0.95
105746,0.95
105747,0.93
105748,0.96
105749,0.99
105750,0.97
105751,0.92
105752,0.89
105753,0.91
105754,0.89
105755,0.86
105756,0.93
105757,0.89
105758,0.95
105759,0.94
105760,0.83
105761,0.91
105762,0.94
105763,1.03
105764,0.96
105765,0.98
105766,0.94
105767,0.95
