,y
102856,0.03000000000000025
102857,-0.030000000000000138
102858,0.019999999999999907
102859,0.050000000000000155
102860,-0.08000000000000018
102861,0.09000000000000041
102862,-0.3200000000000005
102863,0.40000000000000013
102864,-0.20999999999999974
102865,-0.0800000000000003
102866,0.43000000000000016
102867,-0.3900000000000001
102868,-0.029999999999999805
102869,-0.020000000000000018
102870,0.4399999999999995
102871,-0.5999999999999992
102872,0.35999999999999943
102873,0.28000000000000025
102874,-0.6499999999999999
102875,0.4799999999999993
102876,-0.4299999999999988
102877,0.44999999999999885
102878,-0.4199999999999995
102879,0.43999999999999995
