,y
102853,0.66
102854,0.68
102855,0.7
102856,0.75
102857,0.8
102858,0.87
102859,1.01
102860,1.14
102861,1.35
102862,1.32
102863,1.45
102864,1.53
102865,1.48
102866,1.73
102867,1.89
102868,1.93
102869,1.83
102870,2.03
102871,1.93
102872,1.89
102873,2.19
102874,2.18
102875,2.34
102876,2.24
102877,2.33
102878,2.19
102879,2.26
