,y
107950,0.0
107951,0.08999999999999997
107952,0.020000000000000018
107953,-0.09000000000000008
107954,0.15000000000000002
107955,0.050000000000000044
107956,0.0
107957,0.04999999999999993
107958,-0.08999999999999997
107959,-0.030000000000000027
107960,-0.019999999999999907
107961,-0.09000000000000008
107962,0.19000000000000006
107963,-0.030000000000000027
107964,-0.020000000000000018
107965,0.010000000000000009
107966,0.030000000000000027
107967,0.20999999999999996
107968,-0.16000000000000003
107969,0.08000000000000007
107970,0.04999999999999993
107971,-0.029999999999999916
107972,-0.06000000000000005
107973,0.050000000000000044
107974,0.010000000000000009
107975,0.21999999999999986
107976,-0.11999999999999988
107977,0.10999999999999988
107978,0.06000000000000005
107979,0.030000000000000027
