,y
101958,0.010000000000000009
101959,0.050000000000000044
101960,0.0
101961,-0.08000000000000007
101962,-0.010000000000000009
101963,-0.020000000000000018
101964,0.030000000000000027
101965,-0.06000000000000005
101966,0.10000000000000009
101967,-0.06000000000000005
101968,-0.19999999999999996
101969,-0.15000000000000002
101970,0.06000000000000005
101971,0.020000000000000018
101972,0.44000000000000006
101973,-0.07000000000000006
101974,0.33000000000000007
101975,-0.07000000000000006
101976,-0.1100000000000001
101977,0.1100000000000001
101978,-0.09000000000000008
101979,-0.09999999999999987
101980,0.05999999999999983
101981,-0.22999999999999998
101982,0.010000000000000009
101983,-0.06999999999999984
101984,0.029999999999999805
101985,-0.019999999999999796
101986,-0.06000000000000005
101987,0.11999999999999988
