,y
98406,-0.06
98407,-0.04999999999999999
98408,-0.04999999999999999
98409,0.019999999999999962
98410,0.030000000000000027
98411,-0.020000000000000018
98412,0.020000000000000018
98413,0.0
98414,-0.010000000000000009
98415,-0.010000000000000009
98416,-0.010000000000000009
98417,0.020000000000000018
98418,0.010000000000000009
98419,0.020000000000000018
98420,0.0
98421,0.0
98422,-0.010000000000000009
98423,0.019999999999999962
98424,0.010000000000000009
98425,0.030000000000000027
98426,0.03999999999999998
98427,0.010000000000000009
98428,0.020000000000000018
98429,-0.030000000000000027
98430,-0.020000000000000018
98431,-0.009999999999999953
