,y
101509,1.52
101510,1.49
101511,1.45
101512,1.52
101513,1.45
101514,1.55
101515,1.49
101516,1.46
101517,1.43
101518,1.44
101519,1.39
101520,1.36
101521,1.39
101522,1.34
101523,1.28
101524,1.2
101525,1.24
101526,1.23
101527,1.17
101528,1.1
101529,1.16
101530,1.22
101531,1.3
101532,1.28
101533,1.22
101534,1.26
101535,1.26
101536,1.3
101537,1.28
101538,1.29
101539,1.29
