,y
107949,0.55
107950,0.55
107951,0.64
107952,0.66
107953,0.57
107954,0.72
107955,0.77
107956,0.77
107957,0.82
107958,0.73
107959,0.7
107960,0.68
107961,0.59
107962,0.78
107963,0.75
107964,0.73
107965,0.74
107966,0.77
107967,0.98
107968,0.82
107969,0.9
107970,0.95
107971,0.92
107972,0.86
107973,0.91
107974,0.92
107975,1.14
107976,1.02
107977,1.13
107978,1.19
107979,1.22
