,y
102854,0.020000000000000018
102855,0.019999999999999907
102856,0.050000000000000044
102857,0.050000000000000044
102858,0.06999999999999995
102859,0.14
102860,0.1299999999999999
102861,0.2100000000000002
102862,-0.030000000000000027
102863,0.1299999999999999
102864,0.08000000000000007
102865,-0.050000000000000044
102866,0.25
102867,0.15999999999999992
102868,0.040000000000000036
102869,-0.09999999999999987
102870,0.19999999999999973
102871,-0.09999999999999987
102872,-0.040000000000000036
102873,0.30000000000000004
102874,-0.009999999999999787
102875,0.1599999999999997
102876,-0.09999999999999964
102877,0.08999999999999986
102878,-0.14000000000000012
102879,0.06999999999999984
