,y
98407,0.010000000000000009
98408,0.0
98409,0.06999999999999995
98410,0.010000000000000064
98411,-0.050000000000000044
98412,0.040000000000000036
98413,-0.020000000000000018
98414,-0.010000000000000009
98415,0.0
98416,0.0
98417,0.030000000000000027
98418,-0.010000000000000009
98419,0.010000000000000009
98420,-0.020000000000000018
98421,0.0
98422,-0.010000000000000009
98423,0.02999999999999997
98424,-0.009999999999999953
98425,0.020000000000000018
98426,0.009999999999999953
98427,-0.02999999999999997
98428,0.010000000000000009
98429,-0.050000000000000044
98430,0.010000000000000009
98431,0.010000000000000064
98432,0.029999999999999916
98433,0.020000000000000073
98434,-0.020000000000000018
98435,-0.030000000000000027
