,y
101510,-0.01993421490081726
101511,-0.027212563524884714
101512,0.047146778425701974
101513,-0.047146778425701974
101514,0.06669137449867224
101515,-0.039478810973787526
101516,-0.02033968423712268
101517,-0.020761991448429162
101518,0.006968669316093357
101519,-0.03533936644530894
101520,-0.021819047394639635
101521,0.021819047394639635
101522,-0.03663413317978026
101523,-0.04580953603129423
101524,-0.06453852113757122
101525,0.032789822822990894
101526,-0.00809721023261939
101527,-0.0500104205746614
101528,-0.061693569005339746
101529,0.05310982531394827
101530,0.05043085362689195
101531,0.06351340572232589
101532,-0.015504186535965248
101533,-0.04800921918636064
101534,0.03226086221822144
101535,0.0
101536,0.031252543504104446
101537,-0.015504186535965248
101538,0.007782140442054941
101539,0.0
