,y
102855,-1.1102230246251565e-16
102856,0.030000000000000138
102857,0.0
102858,0.019999999999999907
102859,0.07000000000000006
102860,-0.01000000000000012
102861,0.0800000000000003
102862,-0.2400000000000002
102863,0.15999999999999992
102864,-0.04999999999999982
102865,-0.13000000000000012
102866,0.30000000000000004
102867,-0.09000000000000008
102868,-0.11999999999999988
102869,-0.1399999999999999
102870,0.2999999999999996
102871,-0.2999999999999996
102872,0.05999999999999983
102873,0.3400000000000001
102874,-0.30999999999999983
102875,0.16999999999999948
102876,-0.25999999999999934
102877,0.1899999999999995
102878,-0.22999999999999998
102879,0.20999999999999996
